Data,Place,Species,sex,age,Ra,W,ring
10.07.2011,F4,Nyctalus noctula,female,sad,54.3,21.1,DT01170
10.07.2011,F4,Nyctalus noctula,male,ad,54.9,30.5,DT01158
10.07.2011,F4,Nyctalus noctula,male,ad,55.3,30.2,DT01164
10.07.2011,F4,Nyctalus noctula,male,ad,53.2,29.3,DT01165
10.07.2011,F4,Nyctalus noctula,male,sad,54,26.4,DT01161
10.07.2011,F4,Nyctalus noctula,male,sad,56.8,28.7,DT01171
19.07.2011,F4,Pipistrellus nathusii,female,ad,34.6,,BT02145
19.07.2011,F4,Pipistrellus nathusii,male,ad,33.7,,BT02146
19.07.2011,F4,Pipistrellus nathusii,female,sad,35.6,,BT02147
19.07.2011,F4,Pipistrellus pygmaeus,female,ad,32.1,,AT00181
01.07.2014,F1,Nyctalus noctula,female,sad,51.2,22.7,DT05495
01.07.2014,F1,Nyctalus noctula,male,sad,50.7,16.9,DT05494
01.07.2014,F1,Pipistrellus nathusii,female,sad,33.8,5.8,BT02207
01.07.2014,F1,Pipistrellus nathusii,male,sad,33.5,5.8,AT00253
01.07.2014,F1,Pipistrellus pygmaeus,female,ad,30.2,5.5,AT00254
03.07.2014,R2,Nyctalus leisleri,female,ad,44.3,14.3,CT00159
03.07.2014,R2,Nyctalus noctula,male,ad,53.3,30,DT05496
03.07.2014,R2,Plecotus auritus,female,ad,39,7.4,CT00160
04.07.2014,Fed1,Nyctalus leisleri,female,ad,44.3,17,CT02200
04.07.2014,Fed1,Nyctalus leisleri,female,ad,43.7,15.9,CT02178
04.07.2014,Fed1,Nyctalus leisleri,female,ad,43.8,17.2,CT02179
04.07.2014,Fed1,Nyctalus noctula,female,ad,56.4,30.6,DT06206
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.4,26.3,DT06205
04.07.2014,Fed1,Nyctalus noctula,female,ad,55.8,28.9,DT06211
04.07.2014,Fed1,Nyctalus noctula,female,ad,56.7,30.4,DT06209
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.4,29.2,DT06210
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.2,27.6,DT06208
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.7,28.5,DT06207
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.3,30.3,DT06225
04.07.2014,Fed1,Nyctalus noctula,female,ad,55.7,33.1,DT06227
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.7,29,DT06221
04.07.2014,Fed1,Nyctalus noctula,female,ad,52.3,30.2,DT06228
04.07.2014,Fed1,Nyctalus noctula,female,ad,57.3,30.4,DT06223
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.3,28.2,DT06222
04.07.2014,Fed1,Nyctalus noctula,female,ad,53.7,29.1,DT06224
04.07.2014,Fed1,Nyctalus noctula,female,ad,55.8,28.4,DT06219
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.6,29.5,DT06214
04.07.2014,Fed1,Nyctalus noctula,female,ad,55.2,29.1,DT06212
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.1,29.3,DT06217
04.07.2014,Fed1,Nyctalus noctula,female,ad,54,29.6,DT06216
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.4,27.5,DT06213
04.07.2014,Fed1,Nyctalus noctula,female,ad,57.5,28.4,DT06225
04.07.2014,Fed1,Nyctalus noctula,female,ad,56.2,29.5,DT06218
04.07.2014,Fed1,Nyctalus noctula,female,ad,55,30.5,DT06201
04.07.2014,Fed1,Nyctalus noctula,female,ad,55,31.1,DT06202
04.07.2014,Fed1,Nyctalus noctula,female,ad,55.7,31.6,DT06203
04.07.2014,Fed1,Nyctalus noctula,female,ad,54.7,29.5,DT05499
04.07.2014,Fed1,Nyctalus noctula,female,sad,54.6,21,DT06215
04.07.2014,Fed1,Nyctalus noctula,female,sad,54.7,23.2,DT06220
04.07.2014,Fed1,Nyctalus noctula,male,sad,54,23.6,DT06204
04.07.2014,Fed1,Nyctalus noctula,male,sad,51.2,16.5,DT05497
04.07.2014,Fed1,Nyctalus noctula,male,sad,51.6,18.8,DT05498
04.07.2014,Fed1,Nyctalus noctula,male,sad,54.5,22.1,DT05500
04.07.2014,Fed1,Pipistrellus nathusii,male,ad,32.9,7,BT02208
04.07.2014,Fed1,Pipistrellus pygmaeus,male,sad,30,4.1,AT00255
04.07.2014,Fed1,Vespertilio murinus,male,sad,37,,CT02177
04.07.2014,R1,Myotis daubentonii,female,sad,31.6,6,BT02210
04.07.2014,R1,Myotis daubentonii,male,sad,35.5,5.6,BT02209
04.07.2014,R1,Nyctalus noctula,female,ad,56,29.7,DT06229
04.07.2014,R1,Nyctalus noctula,female,sad,54.5,20,DT06230
05.07.2014,F2,Eptesicus serotinus,female,ad,53.7,25.7,DT05235
05.07.2014,F2,Myotis daubentonii,female,ad,38.2,8.3,BT02212
05.07.2014,F2,Myotis daubentonii,male,sad,34.8,4.2,BT02213
05.07.2014,F2,Nyctalus leisleri,female,ad,44.1,14.9,CT02180
05.07.2014,F2,Nyctalus leisleri,male,sad,43.3,10.7,CT02181
05.07.2014,F2,Nyctalus leisleri,male,sad,42,8.8,CT02182
05.07.2014,F2,Nyctalus noctula,female,ad,54.5,29.4,DT05214
05.07.2014,F2,Nyctalus noctula,female,ad,54.9,26.9,DT05215
05.07.2014,F2,Nyctalus noctula,female,ad,56.2,27.7,DT05217
05.07.2014,F2,Nyctalus noctula,female,ad,54.4,26.6,DT05221
05.07.2014,F2,Nyctalus noctula,female,ad,54.2,26.6,DT05224
05.07.2014,F2,Nyctalus noctula,female,ad,55.5,27.2,DT05226
05.07.2014,F2,Nyctalus noctula,female,ad,54,28.6,DT05234
05.07.2014,F2,Nyctalus noctula,female,sad,53.4,20.5,DT05216
05.07.2014,F2,Nyctalus noctula,female,sad,52.1,17.5,DT05220
05.07.2014,F2,Nyctalus noctula,female,sad,52.6,18.5,DT05227
05.07.2014,F2,Nyctalus noctula,female,sad,51.8,14.9,DT05233
05.07.2014,F2,Nyctalus noctula,male,ad,51.7,26.9,DT05213
05.07.2014,F2,Nyctalus noctula,male,ad,52.2,28,DT05219
05.07.2014,F2,Nyctalus noctula,male,ad,54.2,29.7,DT05225
05.07.2014,F2,Nyctalus noctula,male,ad,53.7,30.5,DT05228
05.07.2014,F2,Nyctalus noctula,male,ad,52.4,27.8,DT05229
05.07.2014,F2,Nyctalus noctula,male,ad,55.1,33.7,DT05230
05.07.2014,F2,Nyctalus noctula,male,ad,52.7,27.5,DT05232
05.07.2014,F2,Nyctalus noctula,male,sad,52.2,19.8,DT05218
05.07.2014,F2,Nyctalus noctula,male,sad,53.6,22.4,DT05222
05.07.2014,F2,Nyctalus noctula,male,sad,52.8,23.1,DT05223
05.07.2014,F2,Nyctalus noctula,male,sad,52.5,22.7,DT05231
05.07.2014,Fed3,Pipistrellus nathusii,female,sad,33.4,6,BT02211
08.07.2014,F3,Nyctalus leisleri,female,ad,44.3,15.4,CT02191
08.07.2014,F3,Nyctalus leisleri,female,ad,44.2,14.9,CT02188
08.07.2014,F3,Nyctalus leisleri,female,ad,44.7,12.8,CT02190
08.07.2014,F3,Nyctalus leisleri,female,ad,45,15.5,CT02187
08.07.2014,F3,Nyctalus leisleri,female,ad,45.5,15.5,CT02189
08.07.2014,F3,Nyctalus leisleri,female,ad,46.6,16,CT02192
08.07.2014,F3,Nyctalus leisleri,female,ad,46.2,17.2,CT02195
08.07.2014,F3,Nyctalus leisleri,female,ad,45.5,15.1,CT02199
08.07.2014,F3,Nyctalus leisleri,female,ad,46.1,17.3,CT02196
08.07.2014,F3,Nyctalus leisleri,female,ad,45,15.6,CT02194
08.07.2014,F3,Nyctalus leisleri,female,sad,44.1,11,CT02183
08.07.2014,F3,Nyctalus leisleri,female,sad,44.5,11.5,CT02184
08.07.2014,F3,Nyctalus leisleri,male,sad,44.2,10.3,CT02185
08.07.2014,F3,Nyctalus noctula,female,ad,54.5,27,DT05263
08.07.2014,F3,Nyctalus noctula,female,ad,55.6,29.8,DT05250
08.07.2014,F3,Nyctalus noctula,female,ad,52.4,26.2,DT05253
08.07.2014,F3,Nyctalus noctula,female,ad,55.2,28.3,DT05264
08.07.2014,F3,Nyctalus noctula,female,ad,52.4,25.8,DT05262
08.07.2014,F3,Nyctalus noctula,female,ad,53.5,28.8,DT05258
08.07.2014,F3,Nyctalus noctula,female,ad,55.3,28,DT05257
08.07.2014,F3,Nyctalus noctula,female,ad,54.2,27.3,DT05259
08.07.2014,F3,Nyctalus noctula,female,ad,53.8,25.9,DT05260
08.07.2014,F3,Nyctalus noctula,female,ad,54.9,27.7,DT05261
08.07.2014,F3,Nyctalus noctula,male,ad,54.5,31.4,DT05252
08.07.2014,F3,Nyctalus noctula,male,ad,52,25.8,DT05249
08.07.2014,F3,Nyctalus noctula,male,ad,55.1,30.5,DT05254
08.07.2014,F3,Nyctalus noctula,male,ad,53.9,29.8,DT05251
08.07.2014,F3,Nyctalus noctula,male,ad,53.2,29,DT05256
08.07.2014,F3,Nyctalus noctula,male,ad,52.2,29.4,DT05255
08.07.2014,F3,Pipistrellus nathusii,male,ad,35,7.6,BT02214
08.07.2014,F3,Plecotus auritus,male,sad,39,6.4,BT02215
08.07.2014,F4,Nyctalus noctula,female,ad,53.6,28.1,DT05236
08.07.2014,F4,Nyctalus noctula,female,ad,54.4,28,DT05237
08.07.2014,F4,Nyctalus noctula,male,ad,53.2,31.7,DT05241
08.07.2014,F4,Vespertilio murinus,female,sad,43.3,,CT02186
10.07.2014,Fed2,Myotis daubentonii,female,ad,39.2,8,BT02216
10.07.2014,Fed2,Myotis daubentonii,female,ad,39.1,7.9,BT02217
10.07.2014,Fed2,Myotis daubentonii,female,ad,38.4,9.8,BT02218
10.07.2014,Fed2,Myotis daubentonii,male,ad,36.8,8.8,BT02219
10.07.2014,Fed2,Pipistrellus pygmaeus,female,ad,30.4,4.9,AT00256
10.07.2014,R2,Myotis daubentonii,female,sad,36.7,5.6,BT04542
10.07.2014,R2,Myotis daubentonii,male,sad,38.1,7.7,BT02220
10.07.2014,R2,Myotis daubentonii,male,sad,34.5,5,BT04541
10.07.2014,R2,Nyctalus leisleri,female,sad,44.6,11.6,CT01011
10.07.2014,R2,Nyctalus leisleri,female,sad,44.9,12.1,CT01012
10.07.2014,R2,Nyctalus noctula,female,ad,53.5,27.9,DT05275
10.07.2014,R2,Nyctalus noctula,female,sad,54.1,23,DT05244
10.07.2014,R2,Nyctalus noctula,female,sad,53.5,24.5,DT05247
10.07.2014,R2,Nyctalus noctula,female,sad,55.7,22.7,DT05264
10.07.2014,R2,Nyctalus noctula,female,sad,54.6,20,DT05266
10.07.2014,R2,Nyctalus noctula,female,sad,53.5,19.3,DT05267
10.07.2014,R2,Nyctalus noctula,female,sad,55.9,24.2,DT05268
10.07.2014,R2,Nyctalus noctula,female,sad,52.8,20.1,DT05271
10.07.2014,R2,Nyctalus noctula,female,sad,52.4,14.9,DT05272
10.07.2014,R2,Nyctalus noctula,female,sad,56.8,28,DT05274
10.07.2014,R2,Nyctalus noctula,male,sad,,26,DT05242
10.07.2014,R2,Nyctalus noctula,male,sad,53.5,21.5,DT05243
10.07.2014,R2,Nyctalus noctula,male,sad,54.8,25.2,DT05245
10.07.2014,R2,Nyctalus noctula,male,sad,51.2,26.4,DT05246
10.07.2014,R2,Nyctalus noctula,male,sad,50.6,18.8,DT05265
10.07.2014,R2,Nyctalus noctula,male,sad,51.4,18.7,DT05269
10.07.2014,R2,Nyctalus noctula,male,sad,50.4,16.9,DT05270
10.07.2014,R2,Nyctalus noctula,male,sad,54.6,26.6,DT05273
11.07.2014,F1,Myotis daubentonii,female,ad,39.4,7.5,BT04544
11.07.2014,F1,Nyctalus leisleri,female,ad,47.2,14.3,CT01013
11.07.2014,F1,Nyctalus noctula,female,ad,54.4,27.3,DT05276
11.07.2014,F1,Nyctalus noctula,female,ad,54.9,29.3,DT05280
11.07.2014,F1,Nyctalus noctula,female,ad,56.2,32,DT05289
11.07.2014,F1,Nyctalus noctula,female,ad,55,28.6,DT05291
11.07.2014,F1,Nyctalus noctula,female,ad,56.7,28.3,DT05292
11.07.2014,F1,Nyctalus noctula,female,ad,54.7,29,DT05293
11.07.2014,F1,Nyctalus noctula,female,ad,56,30.5,DT05294
11.07.2014,F1,Nyctalus noctula,female,ad,55.5,29.8,DT05295
11.07.2014,F1,Nyctalus noctula,female,ad,52.4,25.3,DT05296
11.07.2014,F1,Nyctalus noctula,female,ad,53.1,29.4,DT05297
11.07.2014,F1,Nyctalus noctula,female,ad,56.6,29.7,DT05298
11.07.2014,F1,Nyctalus noctula,female,ad,55.2,30.2,DT05299
11.07.2014,F1,Nyctalus noctula,female,ad,54.8,28.9,DT05300
11.07.2014,F1,Nyctalus noctula,female,ad,55,31.6,DT01186
11.07.2014,F1,Nyctalus noctula,female,ad,56.2,30.3,DT01111
11.07.2014,F1,Nyctalus noctula,female,ad,54.9,28.5,DT05502
11.07.2014,F1,Nyctalus noctula,female,ad,54.1,26.7,DT05504
11.07.2014,F1,Nyctalus noctula,female,ad,55.6,29.3,DT05506
11.07.2014,F1,Nyctalus noctula,female,ad,56.6,30.9,DT05507
11.07.2014,F1,Nyctalus noctula,female,ad,56.5,30.6,DT05508
11.07.2014,F1,Nyctalus noctula,female,ad,56.7,29.6,DT05509
11.07.2014,F1,Nyctalus noctula,female,ad,53.8,25.2,DT05510
11.07.2014,F1,Nyctalus noctula,female,ad,55.4,29.9,DT05511
11.07.2014,F1,Nyctalus noctula,female,ad,57.5,30.9,DT05513
11.07.2014,F1,Nyctalus noctula,female,ad,55,26.1,DT05516
11.07.2014,F1,Nyctalus noctula,female,ad,55.6,30.1,DT05517
11.07.2014,F1,Nyctalus noctula,female,ad,55.4,30.2,DT05519
11.07.2014,F1,Nyctalus noctula,female,ad,56.3,31.3,DT05522
11.07.2014,F1,Nyctalus noctula,female,ad,55.4,30.4,DT05524
11.07.2014,F1,Nyctalus noctula,female,ad,54.1,30.8,DT05528
11.07.2014,F1,Nyctalus noctula,female,ad,55.1,29.1,DT05531
11.07.2014,F1,Nyctalus noctula,female,sad,53.3,19.6,DT05277
11.07.2014,F1,Nyctalus noctula,female,sad,55.6,21,DT05278
11.07.2014,F1,Nyctalus noctula,female,sad,55.4,22.8,DT05282
11.07.2014,F1,Nyctalus noctula,female,sad,53.4,19.3,DT05285
11.07.2014,F1,Nyctalus noctula,female,sad,54,21.8,DT05286
11.07.2014,F1,Nyctalus noctula,female,sad,53.9,22.6,DT05287
11.07.2014,F1,Nyctalus noctula,female,sad,55.8,26.1,DT05288
11.07.2014,F1,Nyctalus noctula,female,sad,56.6,23.4,DT05290
11.07.2014,F1,Nyctalus noctula,female,sad,54.3,19,DT05501
11.07.2014,F1,Nyctalus noctula,female,sad,49.3,15.2,DT05503
11.07.2014,F1,Nyctalus noctula,female,sad,55.1,24.2,DT05505
11.07.2014,F1,Nyctalus noctula,female,sad,55.5,25.7,DT05512
11.07.2014,F1,Nyctalus noctula,female,sad,54.1,27.7,DT05514
11.07.2014,F1,Nyctalus noctula,female,sad,53.9,24.4,DT05515
11.07.2014,F1,Nyctalus noctula,female,sad,52.7,21.6,DT05518
11.07.2014,F1,Nyctalus noctula,female,sad,53.9,25,DT05523
11.07.2014,F1,Nyctalus noctula,female,sad,53.5,24.3,DT05527
11.07.2014,F1,Nyctalus noctula,female,sad,55.1,25.1,DT05530
11.07.2014,F1,Nyctalus noctula,male,sad,54.1,21.9,DT05279
11.07.2014,F1,Nyctalus noctula,male,sad,52,20.8,DT05281
11.07.2014,F1,Nyctalus noctula,male,sad,54.5,24.6,DT05283
11.07.2014,F1,Nyctalus noctula,male,sad,52.8,20.4,DT05284
11.07.2014,F1,Nyctalus noctula,male,sad,53.4,23.4,DT05520
11.07.2014,F1,Nyctalus noctula,male,sad,54.5,24.4,DT05521
11.07.2014,F1,Nyctalus noctula,male,sad,53.4,21.7,DT05525
11.07.2014,F1,Nyctalus noctula,male,sad,50.8,20,DT05526
11.07.2014,F1,Nyctalus noctula,male,sad,54.4,20.2,DT05529
11.07.2014,F1,Pipistrellus nathusii,female,sad,33.6,6.5,BT04600
11.07.2014,F1,Plecotus auritus,male,ad,38.2,7.4,BT04543
11.07.2014,F2,Nyctalus noctula,female,ad,53.1,30.9,DT05532
11.07.2014,F2,Nyctalus noctula,female,ad,54.6,30.7,DT05539
11.07.2014,F2,Nyctalus noctula,female,sad,53.6,22.1,DT05533
11.07.2014,F2,Nyctalus noctula,female,sad,53,22.9,DT05535
11.07.2014,F2,Nyctalus noctula,female,sad,54.7,24.4,DT05537
11.07.2014,F2,Nyctalus noctula,female,sad,53.6,23,DT05541
11.07.2014,F2,Nyctalus noctula,female,sad,55.1,27.2,DT05542
11.07.2014,F2,Nyctalus noctula,female,sad,54.3,24,DT05543
11.07.2014,F2,Nyctalus noctula,male,sad,53,24.4,DT05534
11.07.2014,F2,Nyctalus noctula,male,sad,54.6,26.6,DT05536
11.07.2014,F2,Nyctalus noctula,male,sad,53.6,25.4,DT05538
11.07.2014,F2,Nyctalus noctula,male,sad,55,24.1,DT05540
11.07.2014,F2,Nyctalus noctula,male,sad,52,23.6,DT05544
12.07.2014,Fed1,Eptesicus serotinus,female,ad,53.2,23.2,DT06234
12.07.2014,Fed1,Eptesicus serotinus,female,sad,49.6,13.7,DT06251
12.07.2014,Fed1,Myotis daubentonii,female,ad,37.5,8.5,BT00105
12.07.2014,Fed1,Myotis daubentonii,female,sad,36.7,,BT04545
12.07.2014,Fed1,Myotis daubentonii,female,sad,39.4,6.8,BT04548
12.07.2014,Fed1,Myotis daubentonii,male,sad,34.4,5.2,BT04546
12.07.2014,Fed1,Myotis daubentonii,male,sad,33.6,,BT04547
12.07.2014,Fed1,Myotis daubentonii,male,sad,37.1,6,BT04549
12.07.2014,Fed1,Myotis daubentonii,male,sad,37,6.5,BT04550
12.07.2014,Fed1,Nyctalus leisleri,female,ad,43.4,13.4,CT01014
12.07.2014,Fed1,Nyctalus noctula,female,ad,54.4,29.5,DT05604
12.07.2014,Fed1,Nyctalus noctula,female,sad,56.1,26.9,DT05602
12.07.2014,Fed1,Nyctalus noctula,female,sad,52.6,23.3,DT05603
12.07.2014,Fed1,Nyctalus noctula,female,sad,55.5,24.3,DT05605
12.07.2014,Fed1,Nyctalus noctula,female,sad,55.5,26.1,DT05607
12.07.2014,Fed1,Nyctalus noctula,male,ad,56.1,26.6,DT05606
12.07.2014,Fed1,Nyctalus noctula,male,sad,52.5,22.5,DT05601
12.07.2014,Fed1,Pipistrellus nathusii,male,ad,34,7.6,BT04551
12.07.2014,Fed1,Pipistrellus nathusii,male,sad,34.5,6.5,BT04552
12.07.2014,Fed1,Pipistrellus pygmaeus,female,sad,31.4,4.6,AT00257
12.07.2014,Fed1,Pipistrellus pygmaeus,female,sad,30,4.3,AT00258
12.07.2014,Fed1,Pipistrellus pygmaeus,male,sad,30.6,4.3,AT00259
12.07.2014,Fed1,Pipistrellus pygmaeus,male,sad,30.1,4.3,AT00260
12.07.2014,R1,Nyctalus leisleri,male,sad,42.9,11,CT01015
12.07.2014,R1,Nyctalus noctula,female,sad,52,19,DT06277
12.07.2014,R1,Nyctalus noctula,female,sad,55.1,20.9,DT06279
12.07.2014,R1,Nyctalus noctula,female,sad,55.1,21.2,DT06280
12.07.2014,R1,Nyctalus noctula,female,sad,53.5,23.7,DT06281
12.07.2014,R1,Pipistrellus nathusii,female,ad,39.7,7,BT04553
13.07.2014,F3,Nyctalus noctula,female,ad,56,33,DT06282
13.07.2014,F3,Plecotus auritus,female,ad,41.2,8.5,BT04556
13.07.2014,F3,Plecotus auritus,female,sad,40.6,8.3,BT04555
13.07.2014,F3,Plecotus auritus,male,ad,40.6,8.4,BT04554
14.07.2014,Fed2,Myotis daubentonii,female,ad,39.4,,BT04561
14.07.2014,Fed2,Myotis daubentonii,female,sad,37.3,,BT04559
14.07.2014,Fed2,Myotis daubentonii,male,sad,38.1,,BT04560
14.07.2014,Fed2,Myotis daubentonii,male,sad,37.1,,BT04562
14.07.2014,Fed2,Nyctalus leisleri,female,ad,45.8,,CT01017
14.07.2014,Fed2,Nyctalus leisleri,female,ad,45.5,,CT01020
14.07.2014,Fed2,Nyctalus leisleri,female,sad,44.8,,CT01018
14.07.2014,Fed2,Nyctalus leisleri,female,sad,45,,CT01019
14.07.2014,Fed2,Nyctalus leisleri,male,sad,43.5,,CT01016
14.07.2014,Fed2,Nyctalus noctula,female,ad,53.1,,DT06288
14.07.2014,Fed2,Nyctalus noctula,female,ad,54.6,,DT06300
14.07.2014,Fed2,Nyctalus noctula,female,ad,54.6,,DT05608
14.07.2014,Fed2,Nyctalus noctula,female,ad,50.5,,DT05609
14.07.2014,Fed2,Nyctalus noctula,female,ad,56.5,,DT05611
14.07.2014,Fed2,Nyctalus noctula,female,ad,56.5,,DT05617
14.07.2014,Fed2,Nyctalus noctula,female,ad,55.1,,DT05619
14.07.2014,Fed2,Nyctalus noctula,female,ad,52.7,,DT05626
14.07.2014,Fed2,Nyctalus noctula,female,ad,56.1,,DT01125
14.07.2014,Fed2,Nyctalus noctula,female,ad,56.5,,DT05635
14.07.2014,Fed2,Nyctalus noctula,female,ad,56,,DT05641
14.07.2014,Fed2,Nyctalus noctula,female,ad,53.6,,DT05642
14.07.2014,Fed2,Nyctalus noctula,female,ad,53.6,,DT05644
14.07.2014,Fed2,Nyctalus noctula,female,ad,52.4,,DT05646
14.07.2014,Fed2,Nyctalus noctula,female,ad,54,,DT05648
14.07.2014,Fed2,Nyctalus noctula,female,ad,56.2,,DT05650
14.07.2014,Fed2,Nyctalus noctula,female,sad,52.6,,DT06290
14.07.2014,Fed2,Nyctalus noctula,female,sad,54.6,,DT06291
14.07.2014,Fed2,Nyctalus noctula,female,sad,54,,DT06292
14.07.2014,Fed2,Nyctalus noctula,female,sad,52.2,,DT06293
14.07.2014,Fed2,Nyctalus noctula,female,sad,54,,DT06297
14.07.2014,Fed2,Nyctalus noctula,female,sad,53.8,,DT06298
14.07.2014,Fed2,Nyctalus noctula,female,sad,57.2,,DT05614
14.07.2014,Fed2,Nyctalus noctula,female,sad,55.2,,DT05615
14.07.2014,Fed2,Nyctalus noctula,female,sad,54,,DT05621
14.07.2014,Fed2,Nyctalus noctula,female,sad,55,,DT05623
14.07.2014,Fed2,Nyctalus noctula,female,sad,51,,DT05625
14.07.2014,Fed2,Nyctalus noctula,female,sad,53,,DT05627
14.07.2014,Fed2,Nyctalus noctula,female,sad,54.5,,DT05628
14.07.2014,Fed2,Nyctalus noctula,female,sad,54.6,,DT05629
14.07.2014,Fed2,Nyctalus noctula,female,sad,55,,DT05630
14.07.2014,Fed2,Nyctalus noctula,female,sad,53.6,,DT05631
14.07.2014,Fed2,Nyctalus noctula,female,sad,52.1,,DT05632
14.07.2014,Fed2,Nyctalus noctula,female,sad,54.4,,DT05633
14.07.2014,Fed2,Nyctalus noctula,female,sad,56,,DT05637
14.07.2014,Fed2,Nyctalus noctula,female,sad,56.2,,DT05638
14.07.2014,Fed2,Nyctalus noctula,female,sad,53.1,,DT05645
14.07.2014,Fed2,Nyctalus noctula,female,sad,52.4,,DT05649
14.07.2014,Fed2,Nyctalus noctula,female,sad,52.8,,DT05651
14.07.2014,Fed2,Nyctalus noctula,female,sad,56,,DT05652
14.07.2014,Fed2,Nyctalus noctula,female,sad,53.6,,DT05655
14.07.2014,Fed2,Nyctalus noctula,male,ad,53,,DT05622
14.07.2014,Fed2,Nyctalus noctula,male,ad,55.3,,DT05640
14.07.2014,Fed2,Nyctalus noctula,male,sad,54,,DT06283
14.07.2014,Fed2,Nyctalus noctula,male,sad,49.8,16.7,DT06284
14.07.2014,Fed2,Nyctalus noctula,male,sad,54.1,,DT06294
14.07.2014,Fed2,Nyctalus noctula,male,sad,52.1,,DT06295
14.07.2014,Fed2,Nyctalus noctula,male,sad,51.3,,DT06296
14.07.2014,Fed2,Nyctalus noctula,male,sad,54.5,,DT06299
14.07.2014,Fed2,Nyctalus noctula,male,sad,51.5,,DT05610
14.07.2014,Fed2,Nyctalus noctula,male,sad,53.6,,DT05612
14.07.2014,Fed2,Nyctalus noctula,male,sad,51.6,,DT05613
14.07.2014,Fed2,Nyctalus noctula,male,sad,53.1,,DT05616
14.07.2014,Fed2,Nyctalus noctula,male,sad,53.5,,DT05618
14.07.2014,Fed2,Nyctalus noctula,male,sad,55,,DT05620
14.07.2014,Fed2,Nyctalus noctula,male,sad,53,,DT05624
14.07.2014,Fed2,Nyctalus noctula,male,sad,52.7,,DT05634
14.07.2014,Fed2,Nyctalus noctula,male,sad,55.3,,DT05636
14.07.2014,Fed2,Nyctalus noctula,male,sad,51.1,,DT05639
14.07.2014,Fed2,Nyctalus noctula,male,sad,55.4,,DT05643
14.07.2014,Fed2,Nyctalus noctula,male,sad,53.5,,DT05647
14.07.2014,Fed2,Nyctalus noctula,male,sad,52.3,,DT05653
14.07.2014,Fed2,Nyctalus noctula,male,sad,53.5,,DT05654
14.07.2014,Fed2,Pipistrellus nathusii,female,sad,35.2,,BT04558
14.07.2014,Fed2,Pipistrellus nathusii,male,sad,34.3,,BT04557
14.07.2014,Fed2,Pipistrellus pygmaeus,female,sad,29.8,,AT02262
14.07.2014,Fed2,Pipistrellus pygmaeus,female,sad,31.5,,AT04263
14.07.2014,Fed2,Pipistrellus pygmaeus,female,sad,28.9,,AT06264
14.07.2014,Fed2,Pipistrellus pygmaeus,male,sad,29.7,,AT00261
14.07.2014,Fed3,Myotis daubentonii,female,ad,37,,BT04564
14.07.2014,Fed3,Myotis daubentonii,female,ad,36.9,,BT04565
14.07.2014,Fed3,Myotis daubentonii,female,ad,36.2,,BT04566
14.07.2014,Fed3,Myotis daubentonii,male,ad,37.4,,BT04563
01.07.2019,F1,Pipistrellus pygmaeus,male,sad,29.7,3.4,AT00358
01.07.2019,F1,Myotis daubentonii,female,sad,35.9,6.5,BT07852
01.07.2019,F1,Myotis daubentonii,female,sad,39.7,7.3,BT07853
01.07.2019,F1,Myotis daubentonii,male,sad,35.7,6.1,BT07854
01.07.2019,Fed1,Pipistrellus kuhlii,female,ad,36.9,7.1,BT07855
01.07.2019,Fed1,Pipistrellus kuhlii,male,ad,37.4,8.2,BT07851
01.07.2019,Fed1,Plecotus auritus,female,ad,41.4,9.5,BT07856
01.07.2019,Fed1,Nyctalus noctula,female,sad,52.4,17.6,DT19423
01.07.2019,Fed1,Nyctalus noctula,female,sad,54,20.1,DT19424
01.07.2019,Fed1,Nyctalus noctula,female,ad,54.9,28.6,DT19417
01.07.2019,Fed1,Nyctalus noctula,male,sad,51.4,17.6,DT19418
01.07.2019,Fed1,Nyctalus noctula,female,ad,52.2,26.4,DT19425
01.07.2019,Fed1,Nyctalus noctula,female,ad,53.7,26.7,DT19420
01.07.2019,Fed1,Nyctalus noctula,female,sad,54.2,20.5,DT19426
01.07.2019,Fed1,Nyctalus noctula,female,ad,54.7,30.6,DT19422
01.07.2019,Fed1,Nyctalus noctula,female,ad,55.3,26.6,DT19427
01.07.2019,Fed1,Nyctalus noctula,female,sad,53.3,17.4,DT19419
01.07.2019,Fed1,Nyctalus noctula,female,ad,56.9,27.5,DT19421
01.07.2019,Fed1,Nyctalus noctula,female,sad,52.3,17.9,DT19415
01.07.2019,Fed1,Nyctalus noctula,male,sad,54.2,19.6,DT19428
01.07.2019,Fed1,Nyctalus noctula,female,sad,54.8,17.9,DT19413
01.07.2019,Fed1,Nyctalus noctula,male,ad,54,30.2,DT19430
01.07.2019,Fed1,Nyctalus noctula,female,sad,54.8,19.2,DT19416
01.07.2019,Fed1,Nyctalus noctula,male,sad,49.7,15.4,DT19414
01.07.2019,Fed1,Pipistrellus nathusii,female,sad,34.1,6.8,BT07846
